CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;MUNICÍPIO;REGIÃO DE SAÚDE;COMPETÊNCIA;INDICADOR;TER REALIZADO PELO MENOS 01 CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O), NOS ÚLTIMOS 6 MESES;TER PELO MENOS 01 REGISTRO DE MEDIÇÃO DA PRESSÃO ARTERIAL, REALIZADO NOS ÚLTIMOS 6 MESES;TER PELO MENOS 02 VISITAS DOMICILIARES POR ACS/TACS, COM INTERVALO MÍNIMO DE 30 DIAS, REALIZADAS NOS ÚLTIMOS 12 MESES ;TER REALIZADO PELO MENOS 01 (UM) REGISTRO DE PESO E ALTURA, NOS ÚLTIMOS 12 MESES;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA PESSOAS COM HIPERTENSÃO VINCULADAS À EQUIPE;NÚMERO TOTAL DE PESSOAS COM HIPERTENSÃO VINCULADAS À EQUIPE;PONTUAÇÃO
3638685;UNIDADE DE SAUDE DA FAMILIA JOAO DANIEL DAMASCENO;CENTRO DE SAUDE/UNIDADE BASICA;0000004332;JOAO DANIEL DAMASCENO;eSF;Acrelândia;Baixo Acre;Março;Cuidado da pessoa com Hipertensão;78;80;180;119;11.425;195;58,60
0257184;UNIDADE DE SAUDE DA FAMILIA ZULMIRA GARCIA RODRIGUES;CENTRO DE SAUDE/UNIDADE BASICA;0002096307;URBANA 2;eSF;Acrelândia;Baixo Acre;Abril;Cuidado da pessoa com Hipertensão;177;174;238;204;19.825;246;80,60
3393984;UNIDADE DE SAUDE DA FAMILIA RICARDO MONTEIRO ROLA;CENTRO DE SAUDE/UNIDADE BASICA;0000004324;URBANA 2;eSF;Acrelândia;Baixo Acre;Abril;Cuidado da pessoa com Hipertensão;153;160;252;206;19.275;288;66,90
3382745;UNIDADE DE SAUDE DA FAMILIA CICERO BATISTA;CENTRO DE SAUDE/UNIDADE BASICA;0000004316;CICERO BATISTA;eSF;Acrelândia;Baixo Acre;Abril;Cuidado da pessoa com Hipertensão;182;179;191;142;17.350;199;87,20
5403669;UNIDADE DE SAUDE DA FAMILIA REDENCAO;CENTRO DE SAUDE/UNIDADE BASICA;0000004340;REDENCAO;eSF;Acrelândia;Baixo Acre;Abril;Cuidado da pessoa com Hipertensão;56;64;106;90;7.900;124;63,70
3006166;UNIDADE DE SAUDE DA FAMILIA NORTON VITORINO BOHEN;CENTRO DE SAUDE/UNIDADE BASICA;0000004294;URBANA;eSF;Acrelândia;Baixo Acre;Abril;Cuidado da pessoa com Hipertensão;113;112;162;133;13.000;175;74,30
3638685;UNIDADE DE SAUDE DA FAMILIA JOAO DANIEL DAMASCENO;CENTRO DE SAUDE/UNIDADE BASICA;0000004332;JOAO DANIEL DAMASCENO;eSF;Acrelândia;Baixo Acre;Abril;Cuidado da pessoa com Hipertensão;65;78;166;115;10.600;183;57,90
2003066;UNIDADE BASICA DE SAUDE TEREZINHA BATISTA DOS SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;0000004359;TEREZINHA BATISTA DOS SANTOS;eSF;Assis Brasil;Alto Acre;Janeiro;Cuidado da pessoa com Hipertensão;133;133;174;151;14.775;196;75,40
3797554;UNIDADE BASICA DE SAUDE ANTONIO ALVES CAVALCANTE;CENTRO DE SAUDE/UNIDADE BASICA;0000004367;ANTONIO ALVES CAVALCANTE;eSF;Assis Brasil;Alto Acre;Janeiro;Cuidado da pessoa com Hipertensão;93;93;114;103;10.075;123;81,90
7436440;UNIDADE BASICA DE SAUDE GILDO FERREIRA DA SILVA;CENTRO DE SAUDE/UNIDADE BASICA;0001514849;GILDO FERREIRA DA SILVA;eSF;Assis Brasil;Alto Acre;Janeiro;Cuidado da pessoa com Hipertensão;121;131;153;146;13.775;175;78,70
2003066;UNIDADE BASICA DE SAUDE TEREZINHA BATISTA DOS SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;0002335778;EAP TEREZINHA;eAP;Assis Brasil;Alto Acre;Janeiro;Cuidado da pessoa com Hipertensão;1;1;1;1;100;1;100,00
2003066;UNIDADE BASICA DE SAUDE TEREZINHA BATISTA DOS SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;0000004359;TEREZINHA BATISTA DOS SANTOS;eSF;Assis Brasil;Alto Acre;Fevereiro;Cuidado da pessoa com Hipertensão;134;129;156;137;13.900;174;79,90
3797554;UNIDADE BASICA DE SAUDE ANTONIO ALVES CAVALCANTE;CENTRO DE SAUDE/UNIDADE BASICA;0000004367;ANTONIO ALVES CAVALCANTE;eSF;Assis Brasil;Alto Acre;Fevereiro;Cuidado da pessoa com Hipertensão;103;104;126;117;11.250;135;83,30
7436440;UNIDADE BASICA DE SAUDE GILDO FERREIRA DA SILVA;CENTRO DE SAUDE/UNIDADE BASICA;0001514849;GILDO FERREIRA DA SILVA;eSF;Assis Brasil;Alto Acre;Fevereiro;Cuidado da pessoa com Hipertensão;115;119;133;130;12.425;148;84,00
2003066;UNIDADE BASICA DE SAUDE TEREZINHA BATISTA DOS SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;0002335778;EAP TEREZINHA;eAP;Assis Brasil;Alto Acre;Fevereiro;Cuidado da pessoa com Hipertensão;10;9;15;9;1.075;15;71,70
2003066;UNIDADE BASICA DE SAUDE TEREZINHA BATISTA DOS SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;0000004359;TEREZINHA BATISTA DOS SANTOS;eSF;Assis Brasil;Alto Acre;Março;Cuidado da pessoa com Hipertensão;131;128;157;136;13.800;175;78,90
3797554;UNIDADE BASICA DE SAUDE ANTONIO ALVES CAVALCANTE;CENTRO DE SAUDE/UNIDADE BASICA;0000004367;ANTONIO ALVES CAVALCANTE;eSF;Assis Brasil;Alto Acre;Março;Cuidado da pessoa com Hipertensão;108;109;132;122;11.775;143;82,30
7436440;UNIDADE BASICA DE SAUDE GILDO FERREIRA DA SILVA;CENTRO DE SAUDE/UNIDADE BASICA;0001514849;GILDO FERREIRA DA SILVA;eSF;Assis Brasil;Alto Acre;Março;Cuidado da pessoa com Hipertensão;146;145;161;169;15.525;199;78,00
2003066;UNIDADE BASICA DE SAUDE TEREZINHA BATISTA DOS SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;0002335778;EAP TEREZINHA;eAP;Assis Brasil;Alto Acre;Março;Cuidado da pessoa com Hipertensão;29;28;46;32;3.400;47;72,30
2003066;UNIDADE BASICA DE SAUDE TEREZINHA BATISTA DOS SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;0000004359;TEREZINHA BATISTA DOS SANTOS;eSF;Assis Brasil;Alto Acre;Abril;Cuidado da pessoa com Hipertensão;183;181;192;152;17.700;210;84,30
3797554;UNIDADE BASICA DE SAUDE ANTONIO ALVES CAVALCANTE;CENTRO DE SAUDE/UNIDADE BASICA;0000004367;ANTONIO ALVES CAVALCANTE;eSF;Assis Brasil;Alto Acre;Abril;Cuidado da pessoa com Hipertensão;98;102;121;112;10.825;133;81,40
7436440;UNIDADE BASICA DE SAUDE GILDO FERREIRA DA SILVA;CENTRO DE SAUDE/UNIDADE BASICA;0001514849;GILDO FERREIRA DA SILVA;eSF;Assis Brasil;Alto Acre;Abril;Cuidado da pessoa com Hipertensão;172;168;180;180;17.500;213;82,20
2003066;UNIDADE BASICA DE SAUDE TEREZINHA BATISTA DOS SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;0002335778;EAP TEREZINHA;eAP;Assis Brasil;Alto Acre;Abril;Cuidado da pessoa com Hipertensão;66;64;65;41;6.000;69;87,00
2001454;ESF SIMAO MANSOU BARTHA;CENTRO DE SAUDE/UNIDADE BASICA;0000004413;ESF SIMAO MANSOUR BARTHA;eSF;Brasiléia;Alto Acre;Janeiro;Cuidado da pessoa com Hipertensão;512;510;492;385;47.475;536;88,60
3042553;ESF JOSE MARIA DE SOUZA SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;0000004456;ESF JOSE MARIA DE SOUZA SANTOS;eSF;Brasiléia;Alto Acre;Janeiro;Cuidado da pessoa com Hipertensão;270;265;255;198;24.700;292;84,60
9830464;ESF ANTONIO CORREIA DA CRUZ;CENTRO DE SAUDE/UNIDADE BASICA;0001547941;ESF ANTONIO CORREIA DA CRUZ;eSF;Brasiléia;Alto Acre;Janeiro;Cuidado da pessoa com Hipertensão;101;107;128;115;11.275;131;86,10
2001357;ESF PEDRO OLIVEIRA DE SOUZA;CENTRO DE SAUDE/UNIDADE BASICA;0000004391;ESF PEDRO OLIVEIRA DE SOUZA;eSF;Brasiléia;Alto Acre;Janeiro;Cuidado da pessoa com Hipertensão;196;229;240;223;22.200;243;91,40
2001470;ESF FRANCISCO DE ASSIS;CENTRO DE SAUDE/UNIDADE BASICA;0000004448;ESF FRANCISCO DE ASSIS;eSF;Brasiléia;Alto Acre;Janeiro;Cuidado da pessoa com Hipertensão;196;206;211;210;20.575;236;87,20
2001349;ESF TUFIC MIZAEL SAADY;CENTRO DE SAUDE/UNIDADE BASICA;0000004383;ESF TUFIC MIZAEL SAADY;eSF;Brasiléia;Alto Acre;Janeiro;Cuidado da pessoa com Hipertensão;183;193;246;193;20.375;260;78,40
9948759;ESF RAIMUNDA ANTONIA DE ARAUJO CARNEIRO LIMA;CENTRO DE SAUDE/UNIDADE BASICA;0001547933;USF RAIMUNDA ANTONIA A C LIMA;eSF;Brasiléia;Alto Acre;Janeiro;Cuidado da pessoa com Hipertensão;274;262;293;280;27.725;337;82,30
7058322;ESF ANTONIO MONTEIRO DOS REIS;CENTRO DE SAUDE/UNIDADE BASICA;0000004464;ESF ANTONIO MONTEIRO DOS REIS;eSF;Brasiléia;Alto Acre;Janeiro;Cuidado da pessoa com Hipertensão;215;218;245;202;22.000;279;78,90
2001462;ESF DR RICARDO BARBOSA DA SILVA;CENTRO DE SAUDE/UNIDADE BASICA;0000004421;ESF DR. RICARDO BARBOSA SILVA;eSF;Brasiléia;Alto Acre;Janeiro;Cuidado da pessoa com Hipertensão;114;116;129;115;11.850;136;87,10
2001454;ESF SIMAO MANSOU BARTHA;CENTRO DE SAUDE/UNIDADE BASICA;0000004413;ESF SIMAO MANSOUR BARTHA;eSF;Brasiléia;Alto Acre;Fevereiro;Cuidado da pessoa com Hipertensão;503;501;489;390;47.075;529;89,00
3042553;ESF JOSE MARIA DE SOUZA SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;0000004456;ESF JOSE MARIA DE SOUZA SANTOS;eSF;Brasiléia;Alto Acre;Fevereiro;Cuidado da pessoa com Hipertensão;325;320;320;243;30.200;359;84,10
9830464;ESF ANTONIO CORREIA DA CRUZ;CENTRO DE SAUDE/UNIDADE BASICA;0001547941;ESF ANTONIO CORREIA DA CRUZ;eSF;Brasiléia;Alto Acre;Fevereiro;Cuidado da pessoa com Hipertensão;97;108;128;110;11.075;134;82,60
2001357;ESF PEDRO OLIVEIRA DE SOUZA;CENTRO DE SAUDE/UNIDADE BASICA;0000004391;ESF PEDRO OLIVEIRA DE SOUZA;eSF;Brasiléia;Alto Acre;Fevereiro;Cuidado da pessoa com Hipertensão;155;175;189;169;17.200;193;89,10
2001470;ESF FRANCISCO DE ASSIS;CENTRO DE SAUDE/UNIDADE BASICA;0000004448;ESF FRANCISCO DE ASSIS;eSF;Brasiléia;Alto Acre;Fevereiro;Cuidado da pessoa com Hipertensão;213;229;227;233;22.550;258;87,40
2001349;ESF TUFIC MIZAEL SAADY;CENTRO DE SAUDE/UNIDADE BASICA;0000004383;ESF TUFIC MIZAEL SAADY;eSF;Brasiléia;Alto Acre;Fevereiro;Cuidado da pessoa com Hipertensão;198;211;270;212;22.275;281;79,30
9948759;ESF RAIMUNDA ANTONIA DE ARAUJO CARNEIRO LIMA;CENTRO DE SAUDE/UNIDADE BASICA;0001547933;USF RAIMUNDA ANTONIA A C LIMA;eSF;Brasiléia;Alto Acre;Fevereiro;Cuidado da pessoa com Hipertensão;295;287;315;317;30.350;377;80,50
7058322;ESF ANTONIO MONTEIRO DOS REIS;CENTRO DE SAUDE/UNIDADE BASICA;0000004464;ESF ANTONIO MONTEIRO DOS REIS;eSF;Brasiléia;Alto Acre;Fevereiro;Cuidado da pessoa com Hipertensão;245;251;293;249;25.950;331;78,40
2001462;ESF DR RICARDO BARBOSA DA SILVA;CENTRO DE SAUDE/UNIDADE BASICA;0000004421;ESF DR. RICARDO BARBOSA SILVA;eSF;Brasiléia;Alto Acre;Fevereiro;Cuidado da pessoa com Hipertensão;117;121;135;126;12.475;142;87,90
2001454;ESF SIMAO MANSOU BARTHA;CENTRO DE SAUDE/UNIDADE BASICA;0000004413;ESF SIMAO MANSOUR BARTHA;eSF;Brasiléia;Alto Acre;Março;Cuidado da pessoa com Hipertensão;510;505;507;388;47.750;540;88,40
3042553;ESF JOSE MARIA DE SOUZA SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;0000004456;ESF JOSE MARIA DE SOUZA SANTOS;eSF;Brasiléia;Alto Acre;Março;Cuidado da pessoa com Hipertensão;331;325;326;245;30.675;361;85,00
9830464;ESF ANTONIO CORREIA DA CRUZ;CENTRO DE SAUDE/UNIDADE BASICA;0001547941;ESF ANTONIO CORREIA DA CRUZ;eSF;Brasiléia;Alto Acre;Março;Cuidado da pessoa com Hipertensão;95;108;121;108;10.800;129;83,70
2001357;ESF PEDRO OLIVEIRA DE SOUZA;CENTRO DE SAUDE/UNIDADE BASICA;0000004391;ESF PEDRO OLIVEIRA DE SOUZA;eSF;Brasiléia;Alto Acre;Março;Cuidado da pessoa com Hipertensão;211;244;260;242;23.925;266;89,90
2001470;ESF FRANCISCO DE ASSIS;CENTRO DE SAUDE/UNIDADE BASICA;0000004448;ESF FRANCISCO DE ASSIS;eSF;Brasiléia;Alto Acre;Março;Cuidado da pessoa com Hipertensão;232;249;250;254;24.625;284;86,70
2001349;ESF TUFIC MIZAEL SAADY;CENTRO DE SAUDE/UNIDADE BASICA;0000004383;ESF TUFIC MIZAEL SAADY;eSF;Brasiléia;Alto Acre;Março;Cuidado da pessoa com Hipertensão;234;244;273;208;23.975;285;84,10
9948759;ESF RAIMUNDA ANTONIA DE ARAUJO CARNEIRO LIMA;CENTRO DE SAUDE/UNIDADE BASICA;0001547933;USF RAIMUNDA ANTONIA A C LIMA;eSF;Brasiléia;Alto Acre;Março;Cuidado da pessoa com Hipertensão;276;264;298;294;28.300;352;80,40
7058322;ESF ANTONIO MONTEIRO DOS REIS;CENTRO DE SAUDE/UNIDADE BASICA;0000004464;ESF ANTONIO MONTEIRO DOS REIS;eSF;Brasiléia;Alto Acre;Março;Cuidado da pessoa com Hipertensão;257;265;295;253;26.750;341;78,40
2001462;ESF DR RICARDO BARBOSA DA SILVA;CENTRO DE SAUDE/UNIDADE BASICA;0000004421;ESF DR. RICARDO BARBOSA SILVA;eSF;Brasiléia;Alto Acre;Março;Cuidado da pessoa com Hipertensão;164;170;179;166;16.975;192;88,40
2001454;ESF SIMAO MANSOU BARTHA;CENTRO DE SAUDE/UNIDADE BASICA;0000004413;ESF SIMAO MANSOUR BARTHA;eSF;Brasiléia;Alto Acre;Abril;Cuidado da pessoa com Hipertensão;495;490;495;366;46.150;524;88,10
3042553;ESF JOSE MARIA DE SOUZA SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;0000004456;ESF JOSE MARIA DE SOUZA SANTOS;eSF;Brasiléia;Alto Acre;Abril;Cuidado da pessoa com Hipertensão;309;310;287;217;28.075;322;87,20
9830464;ESF ANTONIO CORREIA DA CRUZ;CENTRO DE SAUDE/UNIDADE BASICA;0001547941;ESF ANTONIO CORREIA DA CRUZ;eSF;Brasiléia;Alto Acre;Abril;Cuidado da pessoa com Hipertensão;158;167;162;146;15.825;174;90,90
2001357;ESF PEDRO OLIVEIRA DE SOUZA;CENTRO DE SAUDE/UNIDADE BASICA;0000004391;ESF PEDRO OLIVEIRA DE SOUZA;eSF;Brasiléia;Alto Acre;Abril;Cuidado da pessoa com Hipertensão;229;239;249;234;23.775;255;93,20
2001470;ESF FRANCISCO DE ASSIS;CENTRO DE SAUDE/UNIDADE BASICA;0000004448;ESF FRANCISCO DE ASSIS;eSF;Brasiléia;Alto Acre;Abril;Cuidado da pessoa com Hipertensão;268;272;255;251;26.150;285;91,80
2001349;ESF TUFIC MIZAEL SAADY;CENTRO DE SAUDE/UNIDADE BASICA;0000004383;ESF TUFIC MIZAEL SAADY;eSF;Brasiléia;Alto Acre;Abril;Cuidado da pessoa com Hipertensão;306;304;302;232;28.600;320;89,40
9948759;ESF RAIMUNDA ANTONIA DE ARAUJO CARNEIRO LIMA;CENTRO DE SAUDE/UNIDADE BASICA;0001547933;USF RAIMUNDA ANTONIA A C LIMA;eSF;Brasiléia;Alto Acre;Abril;Cuidado da pessoa com Hipertensão;408;390;369;345;37.800;442;85,50
7058322;ESF ANTONIO MONTEIRO DOS REIS;CENTRO DE SAUDE/UNIDADE BASICA;0000004464;ESF ANTONIO MONTEIRO DOS REIS;eSF;Brasiléia;Alto Acre;Abril;Cuidado da pessoa com Hipertensão;351;351;318;279;32.475;369;88,00
2001462;ESF DR RICARDO BARBOSA DA SILVA;CENTRO DE SAUDE/UNIDADE BASICA;0000004421;ESF DR. RICARDO BARBOSA SILVA;eSF;Brasiléia;Alto Acre;Abril;Cuidado da pessoa com Hipertensão;215;216;217;197;21.125;231;91,50
2002884;U S F MARIA IZA VIANA DE CASTRO;CENTRO DE SAUDE/UNIDADE BASICA;0000004502;URBANA - ESFSB-M1;eSF;Bujari;Baixo Acre;Janeiro;Cuidado da pessoa com Hipertensão;230;196;52;161;15.975;304;52,50
2002876;CENTRO DE SAUDE RAIMUNDA PORFIRIO DE BRITO RAMOS;CENTRO DE SAUDE/UNIDADE BASICA;0000004499;EQUIPE ESF BUJARI;eSF;Bujari;Baixo Acre;Janeiro;Cuidado da pessoa com Hipertensão;55;46;57;33;4.775;86;55,50
4627245;UNIDADE BASICA DE SAUDE MILCA REGINA GUEDES FEITOSA;CENTRO DE SAUDE/UNIDADE BASICA;0002471558;ESF WALTER ARCE;eSF;Bujari;Baixo Acre;Janeiro;Cuidado da pessoa com Hipertensão;50;38;3;25;2.900;79;36,70
2002876;CENTRO DE SAUDE RAIMUNDA PORFIRIO DE BRITO RAMOS;CENTRO DE SAUDE/UNIDADE BASICA;0000004472;PSF RURAL;eSF;Bujari;Baixo Acre;Janeiro;Cuidado da pessoa com Hipertensão;74;64;69;31;5.950;115;51,70
2002884;U S F MARIA IZA VIANA DE CASTRO;CENTRO DE SAUDE/UNIDADE BASICA;0000004502;URBANA - ESFSB-M1;eSF;Bujari;Baixo Acre;Fevereiro;Cuidado da pessoa com Hipertensão;255;207;66;172;17.500;344;50,90
2002876;CENTRO DE SAUDE RAIMUNDA PORFIRIO DE BRITO RAMOS;CENTRO DE SAUDE/UNIDADE BASICA;0000004499;EQUIPE ESF BUJARI;eSF;Bujari;Baixo Acre;Fevereiro;Cuidado da pessoa com Hipertensão;79;66;68;37;6.250;112;55,80
4627245;UNIDADE BASICA DE SAUDE MILCA REGINA GUEDES FEITOSA;CENTRO DE SAUDE/UNIDADE BASICA;0002471558;ESF WALTER ARCE;eSF;Bujari;Baixo Acre;Fevereiro;Cuidado da pessoa com Hipertensão;49;38;5;26;2.950;79;37,30
2002876;CENTRO DE SAUDE RAIMUNDA PORFIRIO DE BRITO RAMOS;CENTRO DE SAUDE/UNIDADE BASICA;0000004472;PSF RURAL;eSF;Bujari;Baixo Acre;Fevereiro;Cuidado da pessoa com Hipertensão;100;81;82;40;7.575;162;46,80
2002884;U S F MARIA IZA VIANA DE CASTRO;CENTRO DE SAUDE/UNIDADE BASICA;0000004502;URBANA - ESFSB-M1;eSF;Bujari;Baixo Acre;Março;Cuidado da pessoa com Hipertensão;324;257;136;182;22.475;426;52,80
2002876;CENTRO DE SAUDE RAIMUNDA PORFIRIO DE BRITO RAMOS;CENTRO DE SAUDE/UNIDADE BASICA;0000004499;EQUIPE ESF BUJARI;eSF;Bujari;Baixo Acre;Março;Cuidado da pessoa com Hipertensão;79;64;66;29;5.950;110;54,10
4627245;UNIDADE BASICA DE SAUDE MILCA REGINA GUEDES FEITOSA;CENTRO DE SAUDE/UNIDADE BASICA;0002471558;ESF WALTER ARCE;eSF;Bujari;Baixo Acre;Março;Cuidado da pessoa com Hipertensão;46;33;4;21;2.600;80;32,50
2002876;CENTRO DE SAUDE RAIMUNDA PORFIRIO DE BRITO RAMOS;CENTRO DE SAUDE/UNIDADE BASICA;0000004472;PSF RURAL;eSF;Bujari;Baixo Acre;Março;Cuidado da pessoa com Hipertensão;101;84;113;36;8.350;170;49,10
2002884;U S F MARIA IZA VIANA DE CASTRO;CENTRO DE SAUDE/UNIDADE BASICA;0000004502;URBANA - ESFSB-M1;eSF;Bujari;Baixo Acre;Abril;Cuidado da pessoa com Hipertensão;314;239;167;148;21.700;407;53,30
2002876;CENTRO DE SAUDE RAIMUNDA PORFIRIO DE BRITO RAMOS;CENTRO DE SAUDE/UNIDADE BASICA;0000004499;EQUIPE ESF BUJARI;eSF;Bujari;Baixo Acre;Abril;Cuidado da pessoa com Hipertensão;78;59;62;26;5.625;128;43,90
4627245;UNIDADE BASICA DE SAUDE MILCA REGINA GUEDES FEITOSA;CENTRO DE SAUDE/UNIDADE BASICA;0002471558;ESF WALTER ARCE;eSF;Bujari;Baixo Acre;Abril;Cuidado da pessoa com Hipertensão;41;31;6;16;2.350;59;39,80
2002876;CENTRO DE SAUDE RAIMUNDA PORFIRIO DE BRITO RAMOS;CENTRO DE SAUDE/UNIDADE BASICA;0000004472;PSF RURAL;eSF;Bujari;Baixo Acre;Abril;Cuidado da pessoa com Hipertensão;81;58;101;28;6.700;134;50,00
5086949;UNIDADE DE SAUDE DA FAMILIA DA ALCOBRAS;CENTRO DE SAUDE/UNIDADE BASICA;0000004545;PSF;eSF;Capixaba;Baixo Acre;Janeiro;Cuidado da pessoa com Hipertensão;112;108;137;30;9.675;142;68,10
