CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;MUNICÍPIO;REGIÃO DE SAÚDE;COMPETÊNCIA;INDICADOR;TER REALIZADO A 1ª CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O), ATÉ O 30º DIA DE VIDA ;TER PELO MENOS 09 CONSULTAS POR MÉDICA(O) OU ENFERMEIRA(O) ATÉ DOIS ANOS DE VIDA ;TER PELO MENOS 09 REGISTROS DE PESO E ALTURA ATÉ OS DOIS ANOS DE VIDA;TER RECEBIDO PELO MENOS 02 VISITAS DOMICILIARES REALIZADAS POR ACS/TACS, SENDO A PRIMEIRA ATÉ OS PRIMEIROS 30 DIAS DE VIDA E A SEGUNDA ATÉ OS 06 MESES DE VIDA;TER SIDO VACINADA CONTRA DIFTERIA, TÉTANO, COQUELUCHE, HEPATITE B, INFECÇÕES CAUSADAS POR HAEMOPHILUS INFLUENZAE TIPO B, POLIOMIELITE, SARAMPO, CAXUMBA E RUBÉOLA, COM TODAS AS DOSES RECOMENDADAS;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA CRIANÇAS DE ATÉ 2 ANOS VINCULADAS À EQUIPE;NÚMERO TOTAL DE CRIANÇAS DE ATÉ 2 ANOS VINCULADAS À EQUIPE;PONTUAÇÃO
0257184;UNIDADE DE SAUDE DA FAMILIA ZULMIRA GARCIA RODRIGUES;CENTRO DE SAUDE/UNIDADE BASICA;0002096307;URBANA 2;eSF;Acrelandia;Baixo Acre;Março;Desenvolvimento Infantil;19;4;4;4;33;1.280;52;24,62
3393984;UNIDADE DE SAUDE DA FAMILIA RICARDO MONTEIRO ROLA;CENTRO DE SAUDE/UNIDADE BASICA;0000004324;URBANA 2;eSF;Acrelandia;Baixo Acre;Março;Desenvolvimento Infantil;11;2;2;9;20;880;39;22,56
3382745;UNIDADE DE SAUDE DA FAMILIA CICERO BATISTA;CENTRO DE SAUDE/UNIDADE BASICA;0000004316;CICERO BATISTA;eSF;Acrelandia;Baixo Acre;Março;Desenvolvimento Infantil;21;1;3;12;18;1.100;46;23,91
5403669;UNIDADE DE SAUDE DA FAMILIA REDENCAO;CENTRO DE SAUDE/UNIDADE BASICA;0000004340;REDENCAO;eSF;Acrelandia;Baixo Acre;Março;Desenvolvimento Infantil;23;0;1;6;20;1.000;48;20,83
3006166;UNIDADE DE SAUDE DA FAMILIA NORTON VITORINO BOHEN;CENTRO DE SAUDE/UNIDADE BASICA;0000004294;URBANA;eSF;Acrelandia;Baixo Acre;Março;Desenvolvimento Infantil;18;2;2;12;15;980;38;25,79
3638685;UNIDADE DE SAUDE DA FAMILIA JOAO DANIEL DAMASCENO;CENTRO DE SAUDE/UNIDADE BASICA;0000004332;JOAO DANIEL DAMASCENO;eSF;Acrelandia;Baixo Acre;Março;Desenvolvimento Infantil;2;0;0;0;3;100;5;20
0257184;UNIDADE DE SAUDE DA FAMILIA ZULMIRA GARCIA RODRIGUES;CENTRO DE SAUDE/UNIDADE BASICA;0002096307;URBANA 2;eSF;Acrelandia;Baixo Acre;Abril;Desenvolvimento Infantil;20;3;3;5;24;1.100;43;25,58
3393984;UNIDADE DE SAUDE DA FAMILIA RICARDO MONTEIRO ROLA;CENTRO DE SAUDE/UNIDADE BASICA;0000004324;URBANA 2;eSF;Acrelandia;Baixo Acre;Abril;Desenvolvimento Infantil;14;2;2;9;20;940;39;24,1
3382745;UNIDADE DE SAUDE DA FAMILIA CICERO BATISTA;CENTRO DE SAUDE/UNIDADE BASICA;0000004316;CICERO BATISTA;eSF;Acrelandia;Baixo Acre;Abril;Desenvolvimento Infantil;22;1;3;13;17;1.120;47;23,83
5403669;UNIDADE DE SAUDE DA FAMILIA REDENCAO;CENTRO DE SAUDE/UNIDADE BASICA;0000004340;REDENCAO;eSF;Acrelandia;Baixo Acre;Abril;Desenvolvimento Infantil;23;0;2;7;17;980;46;21,3
3006166;UNIDADE DE SAUDE DA FAMILIA NORTON VITORINO BOHEN;CENTRO DE SAUDE/UNIDADE BASICA;0000004294;URBANA;eSF;Acrelandia;Baixo Acre;Abril;Desenvolvimento Infantil;17;2;2;11;13;900;37;24,32
3638685;UNIDADE DE SAUDE DA FAMILIA JOAO DANIEL DAMASCENO;CENTRO DE SAUDE/UNIDADE BASICA;0000004332;JOAO DANIEL DAMASCENO;eSF;Acrelandia;Baixo Acre;Abril;Desenvolvimento Infantil;10;2;1;5;12;600;28;21,43
0257184;UNIDADE DE SAUDE DA FAMILIA ZULMIRA GARCIA RODRIGUES;CENTRO DE SAUDE/UNIDADE BASICA;0002096307;URBANA 2;eSF;Acrelandia;Baixo Acre;Maio;Desenvolvimento Infantil;21;3;3;6;25;1.160;44;26,36
3393984;UNIDADE DE SAUDE DA FAMILIA RICARDO MONTEIRO ROLA;CENTRO DE SAUDE/UNIDADE BASICA;0000004324;URBANA 2;eSF;Acrelandia;Baixo Acre;Maio;Desenvolvimento Infantil;15;4;4;8;19;1.000;39;25,64
3382745;UNIDADE DE SAUDE DA FAMILIA CICERO BATISTA;CENTRO DE SAUDE/UNIDADE BASICA;0000004316;CICERO BATISTA;eSF;Acrelandia;Baixo Acre;Maio;Desenvolvimento Infantil;24;2;4;14;17;1.220;48;25,42
5403669;UNIDADE DE SAUDE DA FAMILIA REDENCAO;CENTRO DE SAUDE/UNIDADE BASICA;0000004340;REDENCAO;eSF;Acrelandia;Baixo Acre;Maio;Desenvolvimento Infantil;27;1;3;7;16;1.080;49;22,04
3006166;UNIDADE DE SAUDE DA FAMILIA NORTON VITORINO BOHEN;CENTRO DE SAUDE/UNIDADE BASICA;0000004294;URBANA;eSF;Acrelandia;Baixo Acre;Maio;Desenvolvimento Infantil;19;2;2;12;13;960;40;24
3638685;UNIDADE DE SAUDE DA FAMILIA JOAO DANIEL DAMASCENO;CENTRO DE SAUDE/UNIDADE BASICA;0000004332;JOAO DANIEL DAMASCENO;eSF;Acrelandia;Baixo Acre;Maio;Desenvolvimento Infantil;11;2;1;5;12;620;30;20,67
0257184;UNIDADE DE SAUDE DA FAMILIA ZULMIRA GARCIA RODRIGUES;CENTRO DE SAUDE/UNIDADE BASICA;0002096307;URBANA 2;eSF;Acrelandia;Baixo Acre;Junho;Desenvolvimento Infantil;17;2;2;6;16;860;36;23,89
3393984;UNIDADE DE SAUDE DA FAMILIA RICARDO MONTEIRO ROLA;CENTRO DE SAUDE/UNIDADE BASICA;0000004324;URBANA 2;eSF;Acrelandia;Baixo Acre;Junho;Desenvolvimento Infantil;17;4;5;6;18;1.000;40;25
3382745;UNIDADE DE SAUDE DA FAMILIA CICERO BATISTA;CENTRO DE SAUDE/UNIDADE BASICA;0000004316;CICERO BATISTA;eSF;Acrelandia;Baixo Acre;Junho;Desenvolvimento Infantil;24;3;3;14;17;1.220;48;25,42
5403669;UNIDADE DE SAUDE DA FAMILIA REDENCAO;CENTRO DE SAUDE/UNIDADE BASICA;0000004340;REDENCAO;eSF;Acrelandia;Baixo Acre;Junho;Desenvolvimento Infantil;26;1;3;5;17;1.040;45;23,11
3006166;UNIDADE DE SAUDE DA FAMILIA NORTON VITORINO BOHEN;CENTRO DE SAUDE/UNIDADE BASICA;0000004294;URBANA;eSF;Acrelandia;Baixo Acre;Junho;Desenvolvimento Infantil;20;2;2;13;18;1.100;39;28,21
3638685;UNIDADE DE SAUDE DA FAMILIA JOAO DANIEL DAMASCENO;CENTRO DE SAUDE/UNIDADE BASICA;0000004332;JOAO DANIEL DAMASCENO;eSF;Acrelandia;Baixo Acre;Junho;Desenvolvimento Infantil;11;2;1;6;13;660;31;21,29
0257184;UNIDADE DE SAUDE DA FAMILIA ZULMIRA GARCIA RODRIGUES;CENTRO DE SAUDE/UNIDADE BASICA;0002096307;URBANA 2;eSF;Acrelandia;Baixo Acre;Julho;Desenvolvimento Infantil;16;1;1;6;15;780;32;24,38
3393984;UNIDADE DE SAUDE DA FAMILIA RICARDO MONTEIRO ROLA;CENTRO DE SAUDE/UNIDADE BASICA;0000004324;URBANA 2;eSF;Acrelandia;Baixo Acre;Julho;Desenvolvimento Infantil;17;4;6;5;15;940;37;25,41
3382745;UNIDADE DE SAUDE DA FAMILIA CICERO BATISTA;CENTRO DE SAUDE/UNIDADE BASICA;0000004316;CICERO BATISTA;eSF;Acrelandia;Baixo Acre;Julho;Desenvolvimento Infantil;24;2;2;15;16;1.180;49;24,08
5403669;UNIDADE DE SAUDE DA FAMILIA REDENCAO;CENTRO DE SAUDE/UNIDADE BASICA;0000004340;REDENCAO;eSF;Acrelandia;Baixo Acre;Julho;Desenvolvimento Infantil;28;2;3;5;15;1.060;46;23,04
3006166;UNIDADE DE SAUDE DA FAMILIA NORTON VITORINO BOHEN;CENTRO DE SAUDE/UNIDADE BASICA;0000004294;URBANA;eSF;Acrelandia;Baixo Acre;Julho;Desenvolvimento Infantil;20;3;2;12;18;1.100;39;28,21
3638685;UNIDADE DE SAUDE DA FAMILIA JOAO DANIEL DAMASCENO;CENTRO DE SAUDE/UNIDADE BASICA;0000004332;JOAO DANIEL DAMASCENO;eSF;Acrelandia;Baixo Acre;Julho;Desenvolvimento Infantil;11;2;1;5;12;620;30;20,67
0257184;UNIDADE DE SAUDE DA FAMILIA ZULMIRA GARCIA RODRIGUES;CENTRO DE SAUDE/UNIDADE BASICA;0002096307;URBANA 2;eSF;Acrelandia;Baixo Acre;Agosto;Desenvolvimento Infantil;17;1;2;6;15;820;32;25,63
3393984;UNIDADE DE SAUDE DA FAMILIA RICARDO MONTEIRO ROLA;CENTRO DE SAUDE/UNIDADE BASICA;0000004324;URBANA 2;eSF;Acrelandia;Baixo Acre;Agosto;Desenvolvimento Infantil;18;4;6;4;14;920;36;25,56
3382745;UNIDADE DE SAUDE DA FAMILIA CICERO BATISTA;CENTRO DE SAUDE/UNIDADE BASICA;0000004316;CICERO BATISTA;eSF;Acrelandia;Baixo Acre;Agosto;Desenvolvimento Infantil;23;2;4;16;16;1.220;47;25,96
5403669;UNIDADE DE SAUDE DA FAMILIA REDENCAO;CENTRO DE SAUDE/UNIDADE BASICA;0000004340;REDENCAO;eSF;Acrelandia;Baixo Acre;Agosto;Desenvolvimento Infantil;26;2;3;4;15;1.000;44;22,73
3006166;UNIDADE DE SAUDE DA FAMILIA NORTON VITORINO BOHEN;CENTRO DE SAUDE/UNIDADE BASICA;0000004294;URBANA;eSF;Acrelandia;Baixo Acre;Agosto;Desenvolvimento Infantil;19;2;2;10;15;960;36;26,67
3638685;UNIDADE DE SAUDE DA FAMILIA JOAO DANIEL DAMASCENO;CENTRO DE SAUDE/UNIDADE BASICA;0000004332;JOAO DANIEL DAMASCENO;eSF;Acrelandia;Baixo Acre;Agosto;Desenvolvimento Infantil;11;1;1;6;12;620;28;22,14
0257184;UNIDADE DE SAUDE DA FAMILIA ZULMIRA GARCIA RODRIGUES;CENTRO DE SAUDE/UNIDADE BASICA;0002096307;URBANA 2;eSF;Acrelandia;Baixo Acre;Setembro;Desenvolvimento Infantil;18;0;1;6;13;760;31;24,52
3393984;UNIDADE DE SAUDE DA FAMILIA RICARDO MONTEIRO ROLA;CENTRO DE SAUDE/UNIDADE BASICA;0000004324;URBANA 2;eSF;Acrelandia;Baixo Acre;Setembro;Desenvolvimento Infantil;19;6;8;5;13;1.020;39;26,15
3382745;UNIDADE DE SAUDE DA FAMILIA CICERO BATISTA;CENTRO DE SAUDE/UNIDADE BASICA;0000004316;CICERO BATISTA;eSF;Acrelandia;Baixo Acre;Setembro;Desenvolvimento Infantil;25;1;3;15;18;1.240;49;25,31
5403669;UNIDADE DE SAUDE DA FAMILIA REDENCAO;CENTRO DE SAUDE/UNIDADE BASICA;0000004340;REDENCAO;eSF;Acrelandia;Baixo Acre;Setembro;Desenvolvimento Infantil;25;2;3;5;12;940;41;22,93
3006166;UNIDADE DE SAUDE DA FAMILIA NORTON VITORINO BOHEN;CENTRO DE SAUDE/UNIDADE BASICA;0000004294;URBANA;eSF;Acrelandia;Baixo Acre;Setembro;Desenvolvimento Infantil;20;3;3;10;17;1.060;36;29,44
3638685;UNIDADE DE SAUDE DA FAMILIA JOAO DANIEL DAMASCENO;CENTRO DE SAUDE/UNIDADE BASICA;0000004332;JOAO DANIEL DAMASCENO;eSF;Acrelandia;Baixo Acre;Setembro;Desenvolvimento Infantil;14;1;2;6;12;700;30;23,33
0257184;UNIDADE DE SAUDE DA FAMILIA ZULMIRA GARCIA RODRIGUES;CENTRO DE SAUDE/UNIDADE BASICA;0002096307;URBANA 2;eSF;Acrelandia;Baixo Acre;Outubro;Desenvolvimento Infantil;17;0;1;4;10;640;30;21,33
3393984;UNIDADE DE SAUDE DA FAMILIA RICARDO MONTEIRO ROLA;CENTRO DE SAUDE/UNIDADE BASICA;0000004324;URBANA 2;eSF;Acrelandia;Baixo Acre;Outubro;Desenvolvimento Infantil;18;6;8;6;12;1.000;40;25
3382745;UNIDADE DE SAUDE DA FAMILIA CICERO BATISTA;CENTRO DE SAUDE/UNIDADE BASICA;0000004316;CICERO BATISTA;eSF;Acrelandia;Baixo Acre;Outubro;Desenvolvimento Infantil;23;2;4;14;14;1.140;46;24,78
5403669;UNIDADE DE SAUDE DA FAMILIA REDENCAO;CENTRO DE SAUDE/UNIDADE BASICA;0000004340;REDENCAO;eSF;Acrelandia;Baixo Acre;Outubro;Desenvolvimento Infantil;24;1;2;4;10;820;40;20,5
3006166;UNIDADE DE SAUDE DA FAMILIA NORTON VITORINO BOHEN;CENTRO DE SAUDE/UNIDADE BASICA;0000004294;URBANA;eSF;Acrelandia;Baixo Acre;Outubro;Desenvolvimento Infantil;19;3;4;10;15;1.020;34;30
3638685;UNIDADE DE SAUDE DA FAMILIA JOAO DANIEL DAMASCENO;CENTRO DE SAUDE/UNIDADE BASICA;0000004332;JOAO DANIEL DAMASCENO;eSF;Acrelandia;Baixo Acre;Outubro;Desenvolvimento Infantil;17;1;2;6;11;740;33;22,42
0257184;UNIDADE DE SAUDE DA FAMILIA ZULMIRA GARCIA RODRIGUES;CENTRO DE SAUDE/UNIDADE BASICA;0002096307;URBANA 2;eSF;Acrelandia;Baixo Acre;Novembro;Desenvolvimento Infantil;20;0;1;5;10;720;31;23,23
3393984;UNIDADE DE SAUDE DA FAMILIA RICARDO MONTEIRO ROLA;CENTRO DE SAUDE/UNIDADE BASICA;0000004324;URBANA 2;eSF;Acrelandia;Baixo Acre;Novembro;Desenvolvimento Infantil;17;6;9;5;10;940;37;25,41
3382745;UNIDADE DE SAUDE DA FAMILIA CICERO BATISTA;CENTRO DE SAUDE/UNIDADE BASICA;0000004316;CICERO BATISTA;eSF;Acrelandia;Baixo Acre;Novembro;Desenvolvimento Infantil;24;2;4;14;14;1.160;45;25,78
5403669;UNIDADE DE SAUDE DA FAMILIA REDENCAO;CENTRO DE SAUDE/UNIDADE BASICA;0000004340;REDENCAO;eSF;Acrelandia;Baixo Acre;Novembro;Desenvolvimento Infantil;22;1;2;5;8;760;36;21,11
3006166;UNIDADE DE SAUDE DA FAMILIA NORTON VITORINO BOHEN;CENTRO DE SAUDE/UNIDADE BASICA;0000004294;URBANA;eSF;Acrelandia;Baixo Acre;Novembro;Desenvolvimento Infantil;20;3;4;10;15;1.040;36;28,89
3638685;UNIDADE DE SAUDE DA FAMILIA JOAO DANIEL DAMASCENO;CENTRO DE SAUDE/UNIDADE BASICA;0000004332;JOAO DANIEL DAMASCENO;eSF;Acrelandia;Baixo Acre;Novembro;Desenvolvimento Infantil;16;0;0;7;7;600;30;20
0257184;UNIDADE DE SAUDE DA FAMILIA ZULMIRA GARCIA RODRIGUES;CENTRO DE SAUDE/UNIDADE BASICA;0002096307;URBANA 2;eSF;Acrelandia;Baixo Acre;Dezembro;Desenvolvimento Infantil;19;0;2;6;10;740;32;23,13
3393984;UNIDADE DE SAUDE DA FAMILIA RICARDO MONTEIRO ROLA;CENTRO DE SAUDE/UNIDADE BASICA;0000004324;URBANA 2;eSF;Acrelandia;Baixo Acre;Dezembro;Desenvolvimento Infantil;16;6;10;6;9;940;37;25,41
3382745;UNIDADE DE SAUDE DA FAMILIA CICERO BATISTA;CENTRO DE SAUDE/UNIDADE BASICA;0000004316;CICERO BATISTA;eSF;Acrelandia;Baixo Acre;Dezembro;Desenvolvimento Infantil;25;3;5;14;13;1.200;45;26,67
5403669;UNIDADE DE SAUDE DA FAMILIA REDENCAO;CENTRO DE SAUDE/UNIDADE BASICA;0000004340;REDENCAO;eSF;Acrelandia;Baixo Acre;Dezembro;Desenvolvimento Infantil;22;1;2;6;12;860;38;22,63
3006166;UNIDADE DE SAUDE DA FAMILIA NORTON VITORINO BOHEN;CENTRO DE SAUDE/UNIDADE BASICA;0000004294;URBANA;eSF;Acrelandia;Baixo Acre;Dezembro;Desenvolvimento Infantil;20;3;3;10;13;980;34;28,82
3638685;UNIDADE DE SAUDE DA FAMILIA JOAO DANIEL DAMASCENO;CENTRO DE SAUDE/UNIDADE BASICA;0000004332;JOAO DANIEL DAMASCENO;eSF;Acrelandia;Baixo Acre;Dezembro;Desenvolvimento Infantil;16;0;0;8;8;640;31;20,65
2003066;UNIDADE BASICA DE SAUDE TEREZINHA BATISTA DOS SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;0000004359;TEREZINHA BATISTA DOS SANTOS;eSF;Assis Brasil;Alto Acre;Janeiro;Desenvolvimento Infantil;23;7;4;9;35;1.560;77;20,26
3797554;UNIDADE BASICA DE SAUDE ANTONIO ALVES CAVALCANTE;CENTRO DE SAUDE/UNIDADE BASICA;0000004367;ANTONIO ALVES CAVALCANTE;eSF;Assis Brasil;Alto Acre;Janeiro;Desenvolvimento Infantil;20;8;7;9;24;1.360;56;24,29
3797554;UNIDADE BASICA DE SAUDE ANTONIO ALVES CAVALCANTE;CENTRO DE SAUDE/UNIDADE BASICA;0002335751;EAP ANTONIO ALVES;eAP;Assis Brasil;Alto Acre;Janeiro;Desenvolvimento Infantil;0;0;0;0;0;0;0;0
7436440;UNIDADE BASICA DE SAUDE GILDO FERREIRA DA SILVA;CENTRO DE SAUDE/UNIDADE BASICA;0001514849;GILDO FERREIRA DA SILVA;eSF;Assis Brasil;Alto Acre;Janeiro;Desenvolvimento Infantil;20;7;10;15;35;1.740;79;22,03
2003066;UNIDADE BASICA DE SAUDE TEREZINHA BATISTA DOS SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;0002335778;EAP TEREZINHA;eAP;Assis Brasil;Alto Acre;Janeiro;Desenvolvimento Infantil;0;0;0;0;0;0;0;0
2003066;UNIDADE BASICA DE SAUDE TEREZINHA BATISTA DOS SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;0000004359;TEREZINHA BATISTA DOS SANTOS;eSF;Assis Brasil;Alto Acre;Fevereiro;Desenvolvimento Infantil;20;6;6;7;24;1.260;59;21,36
3797554;UNIDADE BASICA DE SAUDE ANTONIO ALVES CAVALCANTE;CENTRO DE SAUDE/UNIDADE BASICA;0000004367;ANTONIO ALVES CAVALCANTE;eSF;Assis Brasil;Alto Acre;Fevereiro;Desenvolvimento Infantil;23;11;9;9;23;1.500;58;25,86
3797554;UNIDADE BASICA DE SAUDE ANTONIO ALVES CAVALCANTE;CENTRO DE SAUDE/UNIDADE BASICA;0002335751;EAP ANTONIO ALVES;eAP;Assis Brasil;Alto Acre;Fevereiro;Desenvolvimento Infantil;0;0;0;0;0;0;0;0
7436440;UNIDADE BASICA DE SAUDE GILDO FERREIRA DA SILVA;CENTRO DE SAUDE/UNIDADE BASICA;0001514849;GILDO FERREIRA DA SILVA;eSF;Assis Brasil;Alto Acre;Fevereiro;Desenvolvimento Infantil;21;8;11;14;32;1.720;77;22,34
2003066;UNIDADE BASICA DE SAUDE TEREZINHA BATISTA DOS SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;0002335778;EAP TEREZINHA;eAP;Assis Brasil;Alto Acre;Fevereiro;Desenvolvimento Infantil;0;0;0;0;3;180;6;30
2003066;UNIDADE BASICA DE SAUDE TEREZINHA BATISTA DOS SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;0000004359;TEREZINHA BATISTA DOS SANTOS;eSF;Assis Brasil;Alto Acre;Março;Desenvolvimento Infantil;18;6;6;7;18;1.100;55;20
3797554;UNIDADE BASICA DE SAUDE ANTONIO ALVES CAVALCANTE;CENTRO DE SAUDE/UNIDADE BASICA;0000004367;ANTONIO ALVES CAVALCANTE;eSF;Assis Brasil;Alto Acre;Março;Desenvolvimento Infantil;23;9;8;9;20;1.380;56;24,64
3797554;UNIDADE BASICA DE SAUDE ANTONIO ALVES CAVALCANTE;CENTRO DE SAUDE/UNIDADE BASICA;0002335751;EAP ANTONIO ALVES;eAP;Assis Brasil;Alto Acre;Março;Desenvolvimento Infantil;0;0;0;0;0;0;0;0
7436440;UNIDADE BASICA DE SAUDE GILDO FERREIRA DA SILVA;CENTRO DE SAUDE/UNIDADE BASICA;0001514849;GILDO FERREIRA DA SILVA;eSF;Assis Brasil;Alto Acre;Março;Desenvolvimento Infantil;23;8;16;14;30;1.820;78;23,33
2003066;UNIDADE BASICA DE SAUDE TEREZINHA BATISTA DOS SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;0002335778;EAP TEREZINHA;eAP;Assis Brasil;Alto Acre;Março;Desenvolvimento Infantil;3;1;1;0;4;440;13;33,85
2003066;UNIDADE BASICA DE SAUDE TEREZINHA BATISTA DOS SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;0000004359;TEREZINHA BATISTA DOS SANTOS;eSF;Assis Brasil;Alto Acre;Abril;Desenvolvimento Infantil;18;6;6;7;18;1.100;55;20
3797554;UNIDADE BASICA DE SAUDE ANTONIO ALVES CAVALCANTE;CENTRO DE SAUDE/UNIDADE BASICA;0000004367;ANTONIO ALVES CAVALCANTE;eSF;Assis Brasil;Alto Acre;Abril;Desenvolvimento Infantil;22;10;7;9;18;1.320;52;25,38
3797554;UNIDADE BASICA DE SAUDE ANTONIO ALVES CAVALCANTE;CENTRO DE SAUDE/UNIDADE BASICA;0002335751;EAP ANTONIO ALVES;eAP;Assis Brasil;Alto Acre;Abril;Desenvolvimento Infantil;0;0;0;0;0;0;0;0
7436440;UNIDADE BASICA DE SAUDE GILDO FERREIRA DA SILVA;CENTRO DE SAUDE/UNIDADE BASICA;0001514849;GILDO FERREIRA DA SILVA;eSF;Assis Brasil;Alto Acre;Abril;Desenvolvimento Infantil;26;10;18;14;26;1.880;77;24,42
2003066;UNIDADE BASICA DE SAUDE TEREZINHA BATISTA DOS SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;0002335778;EAP TEREZINHA;eAP;Assis Brasil;Alto Acre;Abril;Desenvolvimento Infantil;4;1;1;1;4;500;15;33,33
2003066;UNIDADE BASICA DE SAUDE TEREZINHA BATISTA DOS SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;0000004359;TEREZINHA BATISTA DOS SANTOS;eSF;Assis Brasil;Alto Acre;Maio;Desenvolvimento Infantil;18;4;4;6;14;920;51;18,04
