CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;MUNICÍPIO;REGIÃO DE SAÚDE;COMPETÊNCIA;INDICADOR;TER REALIZADO PELO MENOS 01 CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O), NOS ÚLTIMOS 6 MESES;TER PELO MENOS 01 REGISTRO DE MEDIÇÃO DA PRESSÃO ARTERIAL, REALIZADO NOS ÚLTIMOS 6 MESES;TER PELO MENOS 02 VISITAS DOMICILIARES POR ACS/TACS, COM INTERVALO MÍNIMO DE 30 DIAS, REALIZADAS NOS ÚLTIMOS 12 MESES ;TER REALIZADO PELO MENOS 01 (UM) REGISTRO DE PESO E ALTURA, NOS ÚLTIMOS 12 MESES;TER PELO MENOS 01 REGISTRO DE HEMOGLOBINA GLICADA, SOLICITADA OU AVALIADA, NOS ÚLTIMOS 12 MESES;TER PELO MENOS 01 REGISTRO DE AVALIAÇÃO DOS PÉS, REALIZADO NOS ÚLTIMOS 15 MESES;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA PESSOAS COM DIABETES VINCULADAS À EQUIPE;NÚMERO TOTAL DE PESSOAS COM DIABETES VINCULADAS À EQUIPE;PONTUAÇÃO
3006166;UNIDADE DE SAUDE DA FAMILIA NORTON VITORINO BOHEN;CENTRO DE SAUDE/UNIDADE BASICA;0000004294;URBANA;eSF;Acrelândia;Baixo Acre;Março;Cuidado da pessoa com Diabetes;41;41;62;48;23;0;3.740;69;54,20
3006166;UNIDADE DE SAUDE DA FAMILIA NORTON VITORINO BOHEN;CENTRO DE SAUDE/UNIDADE BASICA;0000004294;URBANA;eSF;Acrelândia;Baixo Acre;Abril;Cuidado da pessoa com Diabetes;46;44;70;54;8;0;3.910;75;52,10
3006166;UNIDADE DE SAUDE DA FAMILIA NORTON VITORINO BOHEN;CENTRO DE SAUDE/UNIDADE BASICA;0000004294;URBANA;eSF;Acrelândia;Baixo Acre;Maio;Cuidado da pessoa com Diabetes;51;50;76;59;11;0;4.340;79;54,90
3006166;UNIDADE DE SAUDE DA FAMILIA NORTON VITORINO BOHEN;CENTRO DE SAUDE/UNIDADE BASICA;0000004294;URBANA;eSF;Acrelândia;Baixo Acre;Junho;Cuidado da pessoa com Diabetes;50;49;77;58;12;0;4.325;79;54,70
3006166;UNIDADE DE SAUDE DA FAMILIA NORTON VITORINO BOHEN;CENTRO DE SAUDE/UNIDADE BASICA;0000004294;URBANA;eSF;Acrelândia;Baixo Acre;Julho;Cuidado da pessoa com Diabetes;49;48;78;58;11;0;4.295;79;54,40
3006166;UNIDADE DE SAUDE DA FAMILIA NORTON VITORINO BOHEN;CENTRO DE SAUDE/UNIDADE BASICA;0000004294;URBANA;eSF;Acrelândia;Baixo Acre;Agosto;Cuidado da pessoa com Diabetes;46;48;79;57;13;0;4.270;80;53,40
3382745;UNIDADE DE SAUDE DA FAMILIA CICERO BATISTA;CENTRO DE SAUDE/UNIDADE BASICA;0000004316;CICERO BATISTA;eSF;Acrelândia;Baixo Acre;Janeiro;Cuidado da pessoa com Diabetes;32;31;44;33;39;0;3.065;46;66,60
3382745;UNIDADE DE SAUDE DA FAMILIA CICERO BATISTA;CENTRO DE SAUDE/UNIDADE BASICA;0000004316;CICERO BATISTA;eSF;Acrelândia;Baixo Acre;Fevereiro;Cuidado da pessoa com Diabetes;33;34;49;39;43;0;3.380;52;65,00
3382745;UNIDADE DE SAUDE DA FAMILIA CICERO BATISTA;CENTRO DE SAUDE/UNIDADE BASICA;0000004316;CICERO BATISTA;eSF;Acrelândia;Baixo Acre;Março;Cuidado da pessoa com Diabetes;37;37;51;41;47;0;3.635;55;66,10
3382745;UNIDADE DE SAUDE DA FAMILIA CICERO BATISTA;CENTRO DE SAUDE/UNIDADE BASICA;0000004316;CICERO BATISTA;eSF;Acrelândia;Baixo Acre;Abril;Cuidado da pessoa com Diabetes;50;48;52;41;45;0;4.050;55;73,60
3382745;UNIDADE DE SAUDE DA FAMILIA CICERO BATISTA;CENTRO DE SAUDE/UNIDADE BASICA;0000004316;CICERO BATISTA;eSF;Acrelândia;Baixo Acre;Maio;Cuidado da pessoa com Diabetes;52;51;54;44;47;0;4.250;57;74,60
3382745;UNIDADE DE SAUDE DA FAMILIA CICERO BATISTA;CENTRO DE SAUDE/UNIDADE BASICA;0000004316;CICERO BATISTA;eSF;Acrelândia;Baixo Acre;Junho;Cuidado da pessoa com Diabetes;53;52;54;45;48;0;4.315;58;74,40
3382745;UNIDADE DE SAUDE DA FAMILIA CICERO BATISTA;CENTRO DE SAUDE/UNIDADE BASICA;0000004316;CICERO BATISTA;eSF;Acrelândia;Baixo Acre;Julho;Cuidado da pessoa com Diabetes;55;54;55;44;49;0;4.405;59;74,70
3382745;UNIDADE DE SAUDE DA FAMILIA CICERO BATISTA;CENTRO DE SAUDE/UNIDADE BASICA;0000004316;CICERO BATISTA;eSF;Acrelândia;Baixo Acre;Agosto;Cuidado da pessoa com Diabetes;56;54;56;43;49;0;4.430;60;73,80
3393984;UNIDADE DE SAUDE DA FAMILIA RICARDO MONTEIRO ROLA;CENTRO DE SAUDE/UNIDADE BASICA;0000004324;URBANA 2;eSF;Acrelândia;Baixo Acre;Janeiro;Cuidado da pessoa com Diabetes;50;51;62;55;29;0;4.265;67;63,70
3393984;UNIDADE DE SAUDE DA FAMILIA RICARDO MONTEIRO ROLA;CENTRO DE SAUDE/UNIDADE BASICA;0000004324;URBANA 2;eSF;Acrelândia;Baixo Acre;Fevereiro;Cuidado da pessoa com Diabetes;55;58;72;64;37;0;4.925;80;61,60
3393984;UNIDADE DE SAUDE DA FAMILIA RICARDO MONTEIRO ROLA;CENTRO DE SAUDE/UNIDADE BASICA;0000004324;URBANA 2;eSF;Acrelândia;Baixo Acre;Março;Cuidado da pessoa com Diabetes;49;52;68;60;35;0;4.545;78;58,30
3393984;UNIDADE DE SAUDE DA FAMILIA RICARDO MONTEIRO ROLA;CENTRO DE SAUDE/UNIDADE BASICA;0000004324;URBANA 2;eSF;Acrelândia;Baixo Acre;Abril;Cuidado da pessoa com Diabetes;52;54;68;62;33;0;4.635;77;60,20
3393984;UNIDADE DE SAUDE DA FAMILIA RICARDO MONTEIRO ROLA;CENTRO DE SAUDE/UNIDADE BASICA;0000004324;URBANA 2;eSF;Acrelândia;Baixo Acre;Maio;Cuidado da pessoa com Diabetes;61;64;77;73;34;0;5.325;90;59,20
3393984;UNIDADE DE SAUDE DA FAMILIA RICARDO MONTEIRO ROLA;CENTRO DE SAUDE/UNIDADE BASICA;0000004324;URBANA 2;eSF;Acrelândia;Baixo Acre;Junho;Cuidado da pessoa com Diabetes;66;65;81;75;31;0;5.505;91;60,50
3393984;UNIDADE DE SAUDE DA FAMILIA RICARDO MONTEIRO ROLA;CENTRO DE SAUDE/UNIDADE BASICA;0000004324;URBANA 2;eSF;Acrelândia;Baixo Acre;Julho;Cuidado da pessoa com Diabetes;63;61;82;76;31;0;5.420;90;60,20
3393984;UNIDADE DE SAUDE DA FAMILIA RICARDO MONTEIRO ROLA;CENTRO DE SAUDE/UNIDADE BASICA;0000004324;URBANA 2;eSF;Acrelândia;Baixo Acre;Agosto;Cuidado da pessoa com Diabetes;63;61;82;76;31;0;5.420;90;60,20
3638685;UNIDADE DE SAUDE DA FAMILIA JOAO DANIEL DAMASCENO;CENTRO DE SAUDE/UNIDADE BASICA;0000004332;JOAO DANIEL DAMASCENO;eSF;Acrelândia;Baixo Acre;Janeiro;Cuidado da pessoa com Diabetes;21;19;37;26;13;0;2.030;39;52,10
3638685;UNIDADE DE SAUDE DA FAMILIA JOAO DANIEL DAMASCENO;CENTRO DE SAUDE/UNIDADE BASICA;0000004332;JOAO DANIEL DAMASCENO;eSF;Acrelândia;Baixo Acre;Fevereiro;Cuidado da pessoa com Diabetes;22;22;36;26;12;0;2.060;39;52,80
3638685;UNIDADE DE SAUDE DA FAMILIA JOAO DANIEL DAMASCENO;CENTRO DE SAUDE/UNIDADE BASICA;0000004332;JOAO DANIEL DAMASCENO;eSF;Acrelândia;Baixo Acre;Março;Cuidado da pessoa com Diabetes;20;19;36;27;13;0;2.005;39;51,40
3638685;UNIDADE DE SAUDE DA FAMILIA JOAO DANIEL DAMASCENO;CENTRO DE SAUDE/UNIDADE BASICA;0000004332;JOAO DANIEL DAMASCENO;eSF;Acrelândia;Baixo Acre;Abril;Cuidado da pessoa com Diabetes;17;17;29;23;8;0;1.640;33;49,70
3638685;UNIDADE DE SAUDE DA FAMILIA JOAO DANIEL DAMASCENO;CENTRO DE SAUDE/UNIDADE BASICA;0000004332;JOAO DANIEL DAMASCENO;eSF;Acrelândia;Baixo Acre;Maio;Cuidado da pessoa com Diabetes;15;17;35;24;7;0;1.720;39;44,10
3638685;UNIDADE DE SAUDE DA FAMILIA JOAO DANIEL DAMASCENO;CENTRO DE SAUDE/UNIDADE BASICA;0000004332;JOAO DANIEL DAMASCENO;eSF;Acrelândia;Baixo Acre;Junho;Cuidado da pessoa com Diabetes;22;22;39;29;10;0;2.135;44;48,50
3638685;UNIDADE DE SAUDE DA FAMILIA JOAO DANIEL DAMASCENO;CENTRO DE SAUDE/UNIDADE BASICA;0000004332;JOAO DANIEL DAMASCENO;eSF;Acrelândia;Baixo Acre;Julho;Cuidado da pessoa com Diabetes;20;22;38;30;10;0;2.090;44;47,50
3638685;UNIDADE DE SAUDE DA FAMILIA JOAO DANIEL DAMASCENO;CENTRO DE SAUDE/UNIDADE BASICA;0000004332;JOAO DANIEL DAMASCENO;eSF;Acrelândia;Baixo Acre;Agosto;Cuidado da pessoa com Diabetes;18;21;38;29;9;0;2.005;43;46,60
5403669;UNIDADE DE SAUDE DA FAMILIA REDENCAO;CENTRO DE SAUDE/UNIDADE BASICA;0000004340;REDENCAO;eSF;Acrelândia;Baixo Acre;Janeiro;Cuidado da pessoa com Diabetes;22;24;41;29;26;0;2.445;43;56,90
5403669;UNIDADE DE SAUDE DA FAMILIA REDENCAO;CENTRO DE SAUDE/UNIDADE BASICA;0000004340;REDENCAO;eSF;Acrelândia;Baixo Acre;Fevereiro;Cuidado da pessoa com Diabetes;23;23;41;30;26;0;2.465;44;56,00
5403669;UNIDADE DE SAUDE DA FAMILIA REDENCAO;CENTRO DE SAUDE/UNIDADE BASICA;0000004340;REDENCAO;eSF;Acrelândia;Baixo Acre;Março;Cuidado da pessoa com Diabetes;24;24;41;31;25;0;2.500;45;55,60
5403669;UNIDADE DE SAUDE DA FAMILIA REDENCAO;CENTRO DE SAUDE/UNIDADE BASICA;0000004340;REDENCAO;eSF;Acrelândia;Baixo Acre;Abril;Cuidado da pessoa com Diabetes;21;22;38;27;7;0;2.020;42;48,10
5403669;UNIDADE DE SAUDE DA FAMILIA REDENCAO;CENTRO DE SAUDE/UNIDADE BASICA;0000004340;REDENCAO;eSF;Acrelândia;Baixo Acre;Maio;Cuidado da pessoa com Diabetes;23;26;47;33;5;0;2.360;49;48,20
5403669;UNIDADE DE SAUDE DA FAMILIA REDENCAO;CENTRO DE SAUDE/UNIDADE BASICA;0000004340;REDENCAO;eSF;Acrelândia;Baixo Acre;Junho;Cuidado da pessoa com Diabetes;24;29;47;36;5;0;2.470;49;50,40
5403669;UNIDADE DE SAUDE DA FAMILIA REDENCAO;CENTRO DE SAUDE/UNIDADE BASICA;0000004340;REDENCAO;eSF;Acrelândia;Baixo Acre;Julho;Cuidado da pessoa com Diabetes;23;24;47;35;6;0;2.375;50;47,50
5403669;UNIDADE DE SAUDE DA FAMILIA REDENCAO;CENTRO DE SAUDE/UNIDADE BASICA;0000004340;REDENCAO;eSF;Acrelândia;Baixo Acre;Agosto;Cuidado da pessoa com Diabetes;28;26;48;34;7;0;2.525;50;50,50
2003066;UNIDADE BASICA DE SAUDE TEREZINHA BATISTA DOS SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;0000004359;TEREZINHA BATISTA DOS SANTOS;eSF;Assis Brasil;Alto Acre;Janeiro;Cuidado da pessoa com Diabetes;42;40;52;42;27;0;3.515;57;61,70
2003066;UNIDADE BASICA DE SAUDE TEREZINHA BATISTA DOS SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;0002335778;EAP TEREZINHA;eAP;Assis Brasil;Alto Acre;Janeiro;Cuidado da pessoa com Diabetes;1;1;1;1;0;0;70;1;70,00
2003066;UNIDADE BASICA DE SAUDE TEREZINHA BATISTA DOS SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;0000004359;TEREZINHA BATISTA DOS SANTOS;eSF;Assis Brasil;Alto Acre;Fevereiro;Cuidado da pessoa com Diabetes;45;43;51;43;26;0;3.600;56;64,30
2003066;UNIDADE BASICA DE SAUDE TEREZINHA BATISTA DOS SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;0002335778;EAP TEREZINHA;eAP;Assis Brasil;Alto Acre;Fevereiro;Cuidado da pessoa com Diabetes;5;4;7;4;2;0;390;7;55,70
2003066;UNIDADE BASICA DE SAUDE TEREZINHA BATISTA DOS SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;0000004359;TEREZINHA BATISTA DOS SANTOS;eSF;Assis Brasil;Alto Acre;Março;Cuidado da pessoa com Diabetes;44;44;52;42;24;0;3.570;56;63,80
2003066;UNIDADE BASICA DE SAUDE TEREZINHA BATISTA DOS SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;0002335778;EAP TEREZINHA;eAP;Assis Brasil;Alto Acre;Março;Cuidado da pessoa com Diabetes;15;11;17;12;7;0;1.090;17;64,10
2003066;UNIDADE BASICA DE SAUDE TEREZINHA BATISTA DOS SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;0000004359;TEREZINHA BATISTA DOS SANTOS;eSF;Assis Brasil;Alto Acre;Abril;Cuidado da pessoa com Diabetes;68;62;65;50;56;0;5.180;70;74,00
2003066;UNIDADE BASICA DE SAUDE TEREZINHA BATISTA DOS SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;0002335778;EAP TEREZINHA;eAP;Assis Brasil;Alto Acre;Abril;Cuidado da pessoa com Diabetes;23;20;23;13;19;0;1.700;23;73,90
2003066;UNIDADE BASICA DE SAUDE TEREZINHA BATISTA DOS SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;0000004359;TEREZINHA BATISTA DOS SANTOS;eSF;Assis Brasil;Alto Acre;Maio;Cuidado da pessoa com Diabetes;66;59;66;48;55;0;5.070;69;73,50
2003066;UNIDADE BASICA DE SAUDE TEREZINHA BATISTA DOS SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;0002335778;EAP TEREZINHA;eAP;Assis Brasil;Alto Acre;Maio;Cuidado da pessoa com Diabetes;25;24;25;16;20;0;1.900;25;76,00
2003066;UNIDADE BASICA DE SAUDE TEREZINHA BATISTA DOS SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;0000004359;TEREZINHA BATISTA DOS SANTOS;eSF;Assis Brasil;Alto Acre;Junho;Cuidado da pessoa com Diabetes;79;78;79;74;75;0;6.565;82;80,10
2003066;UNIDADE BASICA DE SAUDE TEREZINHA BATISTA DOS SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;0002335778;EAP TEREZINHA;eAP;Assis Brasil;Alto Acre;Junho;Cuidado da pessoa com Diabetes;43;44;44;36;42;0;3.570;44;81,10
2003066;UNIDADE BASICA DE SAUDE TEREZINHA BATISTA DOS SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;0000004359;TEREZINHA BATISTA DOS SANTOS;eSF;Assis Brasil;Alto Acre;Julho;Cuidado da pessoa com Diabetes;87;82;84;79;83;0;7.080;87;81,40
2003066;UNIDADE BASICA DE SAUDE TEREZINHA BATISTA DOS SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;0002335778;EAP TEREZINHA;eAP;Assis Brasil;Alto Acre;Julho;Cuidado da pessoa com Diabetes;48;49;49;43;48;0;4.040;49;82,40
2003066;UNIDADE BASICA DE SAUDE TEREZINHA BATISTA DOS SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;0000004359;TEREZINHA BATISTA DOS SANTOS;eSF;Assis Brasil;Alto Acre;Agosto;Cuidado da pessoa com Diabetes;81;76;81;74;79;0;6.675;81;82,40
2003066;UNIDADE BASICA DE SAUDE TEREZINHA BATISTA DOS SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;0002335778;EAP TEREZINHA;eAP;Assis Brasil;Alto Acre;Agosto;Cuidado da pessoa com Diabetes;53;54;54;48;53;0;4.465;54;82,70
3797554;UNIDADE BASICA DE SAUDE ANTONIO ALVES CAVALCANTE;CENTRO DE SAUDE/UNIDADE BASICA;0000004367;ANTONIO ALVES CAVALCANTE;eSF;Assis Brasil;Alto Acre;Janeiro;Cuidado da pessoa com Diabetes;26;25;27;26;17;0;2.080;29;71,70
3797554;UNIDADE BASICA DE SAUDE ANTONIO ALVES CAVALCANTE;CENTRO DE SAUDE/UNIDADE BASICA;0000004367;ANTONIO ALVES CAVALCANTE;eSF;Assis Brasil;Alto Acre;Fevereiro;Cuidado da pessoa com Diabetes;30;29;30;30;17;0;2.340;32;73,10
3797554;UNIDADE BASICA DE SAUDE ANTONIO ALVES CAVALCANTE;CENTRO DE SAUDE/UNIDADE BASICA;0000004367;ANTONIO ALVES CAVALCANTE;eSF;Assis Brasil;Alto Acre;Março;Cuidado da pessoa com Diabetes;32;31;32;34;20;0;2.555;36;71,00
3797554;UNIDADE BASICA DE SAUDE ANTONIO ALVES CAVALCANTE;CENTRO DE SAUDE/UNIDADE BASICA;0000004367;ANTONIO ALVES CAVALCANTE;eSF;Assis Brasil;Alto Acre;Abril;Cuidado da pessoa com Diabetes;34;32;32;35;25;0;2.700;37;73,00
3797554;UNIDADE BASICA DE SAUDE ANTONIO ALVES CAVALCANTE;CENTRO DE SAUDE/UNIDADE BASICA;0000004367;ANTONIO ALVES CAVALCANTE;eSF;Assis Brasil;Alto Acre;Maio;Cuidado da pessoa com Diabetes;39;38;35;39;27;0;3.040;41;74,10
3797554;UNIDADE BASICA DE SAUDE ANTONIO ALVES CAVALCANTE;CENTRO DE SAUDE/UNIDADE BASICA;0002335751;EAP ANTONIO ALVES;eAP;Assis Brasil;Alto Acre;Maio;Cuidado da pessoa com Diabetes;0;0;0;0;0;0;0;0;0,00
3797554;UNIDADE BASICA DE SAUDE ANTONIO ALVES CAVALCANTE;CENTRO DE SAUDE/UNIDADE BASICA;0000004367;ANTONIO ALVES CAVALCANTE;eSF;Assis Brasil;Alto Acre;Junho;Cuidado da pessoa com Diabetes;49;49;45;51;49;0;4.115;52;79,10
3797554;UNIDADE BASICA DE SAUDE ANTONIO ALVES CAVALCANTE;CENTRO DE SAUDE/UNIDADE BASICA;0002335751;EAP ANTONIO ALVES;eAP;Assis Brasil;Alto Acre;Junho;Cuidado da pessoa com Diabetes;0;0;0;0;0;0;0;0;0,00
3797554;UNIDADE BASICA DE SAUDE ANTONIO ALVES CAVALCANTE;CENTRO DE SAUDE/UNIDADE BASICA;0000004367;ANTONIO ALVES CAVALCANTE;eSF;Assis Brasil;Alto Acre;Julho;Cuidado da pessoa com Diabetes;47;47;44;49;46;0;3.950;50;79,00
3797554;UNIDADE BASICA DE SAUDE ANTONIO ALVES CAVALCANTE;CENTRO DE SAUDE/UNIDADE BASICA;0002335751;EAP ANTONIO ALVES;eAP;Assis Brasil;Alto Acre;Julho;Cuidado da pessoa com Diabetes;0;0;0;0;0;0;0;0;0,00
3797554;UNIDADE BASICA DE SAUDE ANTONIO ALVES CAVALCANTE;CENTRO DE SAUDE/UNIDADE BASICA;0000004367;ANTONIO ALVES CAVALCANTE;eSF;Assis Brasil;Alto Acre;Agosto;Cuidado da pessoa com Diabetes;44;44;43;46;44;0;3.750;48;78,10
3797554;UNIDADE BASICA DE SAUDE ANTONIO ALVES CAVALCANTE;CENTRO DE SAUDE/UNIDADE BASICA;0002335751;EAP ANTONIO ALVES;eAP;Assis Brasil;Alto Acre;Agosto;Cuidado da pessoa com Diabetes;0;0;0;0;0;0;0;0;0,00
7436440;UNIDADE BASICA DE SAUDE GILDO FERREIRA DA SILVA;CENTRO DE SAUDE/UNIDADE BASICA;0001514849;GILDO FERREIRA DA SILVA;eSF;Assis Brasil;Alto Acre;Janeiro;Cuidado da pessoa com Diabetes;49;52;57;58;45;1;4.460;65;68,60
7436440;UNIDADE BASICA DE SAUDE GILDO FERREIRA DA SILVA;CENTRO DE SAUDE/UNIDADE BASICA;0001514849;GILDO FERREIRA DA SILVA;eSF;Assis Brasil;Alto Acre;Fevereiro;Cuidado da pessoa com Diabetes;54;55;57;59;47;1;4.650;64;72,70
7436440;UNIDADE BASICA DE SAUDE GILDO FERREIRA DA SILVA;CENTRO DE SAUDE/UNIDADE BASICA;0001514849;GILDO FERREIRA DA SILVA;eSF;Assis Brasil;Alto Acre;Março;Cuidado da pessoa com Diabetes;61;60;64;70;51;0;5.215;79;66,00
7436440;UNIDADE BASICA DE SAUDE GILDO FERREIRA DA SILVA;CENTRO DE SAUDE/UNIDADE BASICA;0001514849;GILDO FERREIRA DA SILVA;eSF;Assis Brasil;Alto Acre;Abril;Cuidado da pessoa com Diabetes;81;74;82;82;70;0;6.650;93;71,50
7436440;UNIDADE BASICA DE SAUDE GILDO FERREIRA DA SILVA;CENTRO DE SAUDE/UNIDADE BASICA;0001514849;GILDO FERREIRA DA SILVA;eSF;Assis Brasil;Alto Acre;Maio;Cuidado da pessoa com Diabetes;81;74;85;83;71;0;6.740;94;71,70
7436440;UNIDADE BASICA DE SAUDE GILDO FERREIRA DA SILVA;CENTRO DE SAUDE/UNIDADE BASICA;0001514849;GILDO FERREIRA DA SILVA;eSF;Assis Brasil;Alto Acre;Junho;Cuidado da pessoa com Diabetes;82;78;84;84;75;0;6.875;92;74,70
7436440;UNIDADE BASICA DE SAUDE GILDO FERREIRA DA SILVA;CENTRO DE SAUDE/UNIDADE BASICA;0001514849;GILDO FERREIRA DA SILVA;eSF;Assis Brasil;Alto Acre;Julho;Cuidado da pessoa com Diabetes;95;87;98;97;94;0;8.030;106;75,80
7436440;UNIDADE BASICA DE SAUDE GILDO FERREIRA DA SILVA;CENTRO DE SAUDE/UNIDADE BASICA;0001514849;GILDO FERREIRA DA SILVA;eSF;Assis Brasil;Alto Acre;Agosto;Cuidado da pessoa com Diabetes;93;86;100;93;94;1;7.970;106;75,20
2001349;ESF TUFIC MIZAEL SAADY;CENTRO DE SAUDE/UNIDADE BASICA;0000004383;ESF TUFIC MIZAEL SAADY;eSF;Brasiléia;Alto Acre;Janeiro;Cuidado da pessoa com Diabetes;93;81;101;81;67;0;7.315;105;69,70
2001349;ESF TUFIC MIZAEL SAADY;CENTRO DE SAUDE/UNIDADE BASICA;0000004383;ESF TUFIC MIZAEL SAADY;eSF;Brasiléia;Alto Acre;Fevereiro;Cuidado da pessoa com Diabetes;90;87;103;89;70;0;7.550;111;68,00
2001349;ESF TUFIC MIZAEL SAADY;CENTRO DE SAUDE/UNIDADE BASICA;0000004383;ESF TUFIC MIZAEL SAADY;eSF;Brasiléia;Alto Acre;Março;Cuidado da pessoa com Diabetes;111;110;110;91;109;0;9.070;118;76,90
2001349;ESF TUFIC MIZAEL SAADY;CENTRO DE SAUDE/UNIDADE BASICA;0000004383;ESF TUFIC MIZAEL SAADY;eSF;Brasiléia;Alto Acre;Abril;Cuidado da pessoa com Diabetes;118;118;115;99;115;1;9.655;123;78,50
