CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;MUNICÍPIO;REGIÃO DE SAÚDE;Distrito;OSS;COMPETÊNCIA;INDICADOR;TER REALIZADO A PRIMEIRA CONSULTA DE PRÉ-NATAL ATÉ 12 SEMANAS DE GESTAÇÃO;TER REALIZADO PELO MENOS 07 CONSULTAS DURANTE O PERÍODO DE GESTAÇÃO PARA VALORIZAR O DIAGNÓSTICO E ACOLHIMENTO OPORTUNO;TER REALIZADO PELO MENOS 07 REGISTROS DE PRESSÃO ARTERIAL DURANTE O PERÍODO DA GESTAÇÃO;TER REALIZADO PELO MENOS 07 REGISTROS SIMULTÂNEOS DE PESO E ALTURA DURANTE O PERÍODO DA GESTAÇÃO;TER REGISTRO DE PELO MENOS 03 VISITAS DOMICILIARES DO ACS/TACS, APÓS A PRIMEIRA CONSULTA DO PRÉ-NATAL;TER REGISTRO DE UMA DOSE DE DTPA A PARTIR DA 20ª SEMANA DE CADA GESTAÇÃO;TER REGISTRO DOS TESTES RÁPIDOS OU DOS EXAMES AVALIADOS PARA SÍFILIS, HIV E HEPATITES B E C REALIZADOS NO PRIMEIRO TRIMESTRE DE CADA GESTAÇÃO;TER REGISTRO DOS TESTES RÁPIDOS OU DOS EXAMES AVALIADOS PARA SÍFILIS E HIV REALIZADOS NO TERCEIRO TRIMESTRE DE CADA GESTAÇÃO;TER REGISTRO DE PELO MENOS 01 CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O) REALIZADA DURANTE O PUERPÉRIO;TER REGISTRO DE PELO MENOS 01 VISITA DOMICILIAR POR ACS/TACS REALIZADA DURANTE O PUERPÉRIO;TER REGISTRO DE PELO MENOS 01 AVALIAÇÃO ODONTOLÓGICA REALIZADA DURANTE O PERÍODO DA GESTAÇÃO POR PROFISSIONAL CIRURGIÃ(ÃO) DENTISTA OU TÉCNICA(O) EM SAÚDE BUCAL OU AUXILIAR DE SAÚDE BUCA;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA GESTANTES E PUÉRPERAS VINCULADAS À EQUIPE;NÚMERO TOTAL DE GESTANTES E PUÉRPERAS VINCULADAS À EQUIPE;PONTUAÇÃO
2788853;UBS VILA ESPANHOLA;CENTRO DE SAUDE/UNIDADE BASICA;363243;003-AMARELA;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;18;9;11;4;15;15;5;3;4;2;13;909;20;45,45
2825767;UBS JARDIM SANTA MARGARIDA;CENTRO DE SAUDE/UNIDADE BASICA;364576;STA MARGARIDA 1;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;15;8;9;9;10;10;5;9;5;4;14;897;17;52,76
2788527;AMA UBS JARDIM SAO FRANCISCO II;CENTRO DE SAUDE/UNIDADE BASICA;362395;EQUIPE 4- DOURADA;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;26;6;4;1;14;12;2;1;2;4;20;854;30;28,47
6332447;UBS JARDIM SANTA FE;CENTRO DE SAUDE/UNIDADE BASICA;368938;SANTA FE III;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;29;15;17;14;21;22;1;0;6;5;20;1379;34;40,56
2751836;UBS VILA PARANAGUA;CENTRO DE SAUDE/UNIDADE BASICA;2261758;AMARELO;eAP;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;2;0;0;0;0;0;2;0;0;0;2;92;2;46
4050134;UBS JARDIM NOSSA SENHORA DO CARMO;CENTRO DE SAUDE/UNIDADE BASICA;1666002;EQUIPE 03;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;13;1;15;6;19;26;6;9;8;6;31;1273;43;29,6
2046997;UBS VILA STA CATARINA;CENTRO DE SAUDE/UNIDADE BASICA;354783;4303 EQUIPE 3 - AMARELA;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;28;13;17;13;24;17;16;1;4;0;23;1432;30;47,73
3469042;UBS SANTO ELIAS;CENTRO DE SAUDE/UNIDADE BASICA;365440;SANTO ELIAS - AZUL;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;32;20;25;19;31;17;27;2;8;2;3;1706;36;47,39
2752174;UBS BELENZINHO MARCUS WOLOSKER;CENTRO DE SAUDE/UNIDADE BASICA;355631;4054 - EQUIPE VI;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;38;12;17;14;35;16;19;14;5;6;30;1892;44;43
2825767;UBS JARDIM SANTA MARGARIDA;CENTRO DE SAUDE/UNIDADE BASICA;364592;STA MARGARIDA 2;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;30;16;21;18;22;20;11;8;11;7;27;1749;33;53
2787199;UBS JARDIM ARACATI;CENTRO DE SAUDE/UNIDADE BASICA;357812;J ARACATI 3;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;43;26;28;24;36;28;31;22;7;5;21;2482;46;53,96
2029618;UBS BOM RETIRO OCTAVIO AUGUSTO RODOVALHO;CENTRO DE SAUDE/UNIDADE BASICA;354309;ESF BOM RETIRO 4 AMARELA;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;7;3;3;2;4;1;1;1;2;0;4;259;8;32,38
6332447;UBS JARDIM SANTA FE;CENTRO DE SAUDE/UNIDADE BASICA;368946;SANTA FE II;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;28;9;15;10;20;18;2;0;9;4;12;1171;33;35,48
4050401;UBS REUNIDAS I;CENTRO DE SAUDE/UNIDADE BASICA;367613;4202 - AREA BRANCA;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;15;10;11;8;16;10;11;4;4;4;13;969;18;53,83
4050002;UBS PEDRO DE SOUZA CAMPOS;CENTRO DE SAUDE/UNIDADE BASICA;366765;EQUIPE 03;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;11;1;1;1;4;7;1;0;1;0;6;308;11;28
2046997;UBS VILA STA CATARINA;CENTRO DE SAUDE/UNIDADE BASICA;354791;4301 EQUIPE 1 - AZUL;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;32;19;24;12;27;14;18;3;4;10;22;1697;37;45,86
2825767;UBS JARDIM SANTA MARGARIDA;CENTRO DE SAUDE/UNIDADE BASICA;364584;STA MARGARIDA 4;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;25;14;18;15;22;14;11;10;7;5;22;1492;27;55,26
3469042;UBS SANTO ELIAS;CENTRO DE SAUDE/UNIDADE BASICA;365432;SANTO ELIAS - VERMELHA;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;9;3;4;3;6;2;6;1;3;2;3;387;10;38,7
2787954;UBS JARDIM VITORIA;CENTRO DE SAUDE/UNIDADE BASICA;2148943;IPE III VERMELHO;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;12;9;6;2;8;8;2;3;6;5;12;669;22;30,41
4050142;UBS JOSE BONIFACIO III DRA LUCY MAYUMI UDAKIRI;CENTRO DE SAUDE/UNIDADE BASICA;2262606;AMARELO;eAP;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;6;1;2;2;0;7;0;1;0;0;7;384;8;48
4050134;UBS JARDIM NOSSA SENHORA DO CARMO;CENTRO DE SAUDE/UNIDADE BASICA;1666010;EQUIPE 04;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;15;1;11;9;17;29;9;12;3;10;26;1293;43;30,07
2787199;UBS JARDIM ARACATI;CENTRO DE SAUDE/UNIDADE BASICA;357820;J ARACATI 1;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;39;22;27;25;35;22;22;17;14;7;20;2289;44;52,02
2786974;UBS DOM ANGELICO;CENTRO DE SAUDE/UNIDADE BASICA;356972;VITORIA REGIA III;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;15;1;4;3;6;19;4;6;6;2;15;744;31;24
2064820;UBS PONTE RASA DR CARLOS OLIVALDO DE SOUZA LOPES MUNIZ;CENTRO DE SAUDE/UNIDADE BASICA;2261782;AMARELO;eAP;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2027038;UBS CIDADE SATELITE SANTA BARBARA;CENTRO DE SAUDE/UNIDADE BASICA;2262630;AZUL;eAP;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;1;1;0;1;0;0;0;0;1;0;1;64;1;64
9343121;UBS INTERATIVA;CENTRO DE SAUDE/UNIDADE BASICA;1678000;EQ-1 VERMELHA -GIRASSOL;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;26;13;13;9;23;15;16;4;7;3;22;1385;29;47,76
2789264;UBS VILA TEREZINHA;CENTRO DE SAUDE/UNIDADE BASICA;364118;101 - EQUIPE 1 AZUL;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;19;10;11;10;16;11;15;2;7;2;14;1072;21;51,05
6332463;UBS JARDIM SILVEIRA;CENTRO DE SAUDE/UNIDADE BASICA;368954;SILVEIRA;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;39;22;28;17;36;25;2;2;9;10;27;1992;45;44,27
2786974;UBS DOM ANGELICO;CENTRO DE SAUDE/UNIDADE BASICA;356980;VITORIA REGIA I;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;8;2;9;6;9;9;3;11;5;2;15;719;20;35,95
4050401;UBS REUNIDAS I;CENTRO DE SAUDE/UNIDADE BASICA;367621;4207 - AREA ROSA;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;20;12;17;4;18;7;14;1;6;5;16;1100;23;47,83
4050002;UBS PEDRO DE SOUZA CAMPOS;CENTRO DE SAUDE/UNIDADE BASICA;366773;EQUIPE 02;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;12;0;2;0;10;9;0;0;2;0;6;381;13;29,31
2788225;AMA UBS PERUS;CENTRO DE SAUDE/UNIDADE BASICA;1713337;PERUS - EAP ALEGRIA;eAP;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;6;3;3;2;0;2;4;2;0;0;2;330;6;55
2788217;AMA UBS PAULO VI;CENTRO DE SAUDE/UNIDADE BASICA;361089;ESF 2 VERMELHA PAULO VI;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;13;9;9;1;12;8;2;0;5;3;8;643;16;40,19
2752328;UBS PARQUE ARTHUR ALVIM;CENTRO DE SAUDE/UNIDADE BASICA;2261308;EAP01;eAP;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;1;0;0;0;0;0;0;0;0;0;0;28;1;28
2086816;UBS VERA CRUZ DR FERNANDO PROENCA DE GOUVEA;CENTRO DE SAUDE/UNIDADE BASICA;2408775;J VERA CRUZ 7;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;48;34;34;31;34;27;33;21;17;10;43;3036;53;57,28
2787199;UBS JARDIM ARACATI;CENTRO DE SAUDE/UNIDADE BASICA;357839;J ARACATI 2;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;35;20;23;21;32;19;23;15;12;8;13;2024;39;51,9
2029618;UBS BOM RETIRO OCTAVIO AUGUSTO RODOVALHO;CENTRO DE SAUDE/UNIDADE BASICA;354325;ESF BOM RETIRO 3 AZUL;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;0;1;1;1;1;1;0;0;0;0;1;54;1;54
2751836;UBS VILA PARANAGUA;CENTRO DE SAUDE/UNIDADE BASICA;2261774;VERDE;eAP;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2027038;UBS CIDADE SATELITE SANTA BARBARA;CENTRO DE SAUDE/UNIDADE BASICA;2262622;AMARELO;eAP;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6332498;UBS NOVA AMERICA;CENTRO DE SAUDE/UNIDADE BASICA;368970;NOVA AMERICA;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;10;2;5;4;7;7;0;1;3;1;10;460;15;30,67
2091720;UBS JARDIM FONTALIS;CENTRO DE SAUDE/UNIDADE BASICA;1693603;2 AZUL SAFIRA UBS FONTALIS;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;32;16;18;5;13;13;18;10;6;1;20;1400;39;35,9
2786834;UBS CAMBUCI;CENTRO DE SAUDE/UNIDADE BASICA;356506;ESF CAMBUCI 1 AZUL;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;8;2;5;6;1;8;1;0;2;1;4;350;16;21,88
3956954;UBS PARAISOPOLIS II;CENTRO DE SAUDE/UNIDADE BASICA;366307;PARAISOPOLIS II - BRANCA;eSF;SÃO PAULO;Capital;Vila andrade;Einstein;Abril;Gestantes e puérperas;19;11;10;10;4;13;15;8;7;3;22;1117;23;48,57
2789264;UBS VILA TEREZINHA;CENTRO DE SAUDE/UNIDADE BASICA;364126;501 - EQUIPE 5 ROSA;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;23;9;11;7;21;9;16;4;3;3;17;1130;24;47,08
2788217;AMA UBS PAULO VI;CENTRO DE SAUDE/UNIDADE BASICA;361097;ESF 3 AZUL PAULO VI;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;24;12;12;3;15;10;3;2;5;5;9;924;28;33
2788853;UBS VILA ESPANHOLA;CENTRO DE SAUDE/UNIDADE BASICA;363278;004-VERMELHA;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;14;10;12;8;7;14;12;0;1;3;14;869;21;41,38
6332471;UBS MARSILAC;CENTRO DE SAUDE/UNIDADE BASICA;368962;MARSILAC;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;18;9;9;8;11;12;3;6;6;1;11;864;19;45,47
6365817;UBS JARDIM ELEDY;CENTRO DE SAUDE/UNIDADE BASICA;2408783;ELEDY - BRANCA;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;34;15;16;8;17;12;24;13;7;6;31;1681;38;44,24
2787296;UBS JARDIM COLONIAL;CENTRO DE SAUDE/UNIDADE BASICA;2262657;AMARELO;eAP;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9339833;UBS JOVA RURAL;CENTRO DE SAUDE/UNIDADE BASICA;1693654;EQUIPE 2;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;25;18;17;17;16;18;1;3;6;4;16;1294;30;43,13
2091526;UBS SANTA CRUZ;CENTRO DE SAUDE/UNIDADE BASICA;2239876;EQUIPE GIRASSOL;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;6;4;6;1;3;6;6;3;3;0;2;366;9;40,67
4050134;UBS JARDIM NOSSA SENHORA DO CARMO;CENTRO DE SAUDE/UNIDADE BASICA;1666037;EQUIPE 06;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;11;1;7;3;9;9;4;2;0;3;16;596;19;31,37
2029618;UBS BOM RETIRO OCTAVIO AUGUSTO RODOVALHO;CENTRO DE SAUDE/UNIDADE BASICA;354333;ESF BOM RETIRO 2 VERMELHA;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;1;1;0;1;0;0;0;0;0;1;1;46;1;46
2752204;AMA UBS CANGAIBA DR CARLOS GENTILE DE MELLO;CENTRO DE SAUDE/UNIDADE BASICA;2261324;EAP01;eAP;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2789264;UBS VILA TEREZINHA;CENTRO DE SAUDE/UNIDADE BASICA;364142;201 - EQUIPE 2 LARANJA;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;25;11;11;9;18;9;17;4;4;3;17;1177;26;45,27
2788896;UBS VILA FORMOSA II;CENTRO DE SAUDE/UNIDADE BASICA;363294;4022 - EQUIPE II;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;14;3;3;3;12;6;2;0;1;0;13;527;16;32,94
9343121;UBS INTERATIVA;CENTRO DE SAUDE/UNIDADE BASICA;1678019;EQ-2 BRANCA - AGUIA;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;30;18;20;13;24;16;20;1;6;4;28;1650;37;44,59
2752182;UBS BRAS DR MANOEL SALDIVA NETO;CENTRO DE SAUDE/UNIDADE BASICA;355666;4032 - EQUIPE B;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;34;19;22;18;30;23;12;11;8;4;33;1960;42;46,67
2786834;UBS CAMBUCI;CENTRO DE SAUDE/UNIDADE BASICA;356514;ESF CAMBUCI 3 AMARELA;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;5;1;0;1;2;5;2;1;1;1;2;194;8;24,25
2786974;UBS DOM ANGELICO;CENTRO DE SAUDE/UNIDADE BASICA;356999;VITORIA REGIA II;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;19;5;7;4;11;14;6;8;3;3;18;901;28;32,18
2075202;AMA UBS JARDIM BRASIL;CENTRO DE SAUDE/UNIDADE BASICA;2287951;ROSA - PARANA;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;29;18;20;3;20;10;4;4;3;4;22;1262;35;36,06
2787210;UBS JARDIM BOA VISTA;CENTRO DE SAUDE/UNIDADE BASICA;357847;ESF 5 BRANCA BOA VISTA;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;25;16;17;12;15;16;14;2;7;4;12;1285;27;47,59
4050401;UBS REUNIDAS I;CENTRO DE SAUDE/UNIDADE BASICA;367648;4205 - AREA VERDE;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;6;3;3;2;3;2;2;3;2;1;3;276;7;39,43
2788896;UBS VILA FORMOSA II;CENTRO DE SAUDE/UNIDADE BASICA;363286;4023 - EQUIPE III;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;11;7;8;6;7;8;2;1;4;0;12;605;14;43,21
9343121;UBS INTERATIVA;CENTRO DE SAUDE/UNIDADE BASICA;1678027;EQ- 3 VERDE-LUZ;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;34;19;25;13;29;20;21;3;6;2;21;1771;37;47,86
2789264;UBS VILA TEREZINHA;CENTRO DE SAUDE/UNIDADE BASICA;364134;301 - EQUIPE 3 VERMELHA;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;25;17;18;13;22;11;19;5;10;4;19;1492;26;57,38
4050134;UBS JARDIM NOSSA SENHORA DO CARMO;CENTRO DE SAUDE/UNIDADE BASICA;1666029;EQUIPE 05;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;5;0;4;2;7;8;1;2;0;1;7;338;16;21,13
2752247;AMA UBS PARQUE BOTURUSSU PROF DR HUMBERTO CERRUTI;CENTRO DE SAUDE/UNIDADE BASICA;2148978;ORQUIDEA;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;24;8;7;8;19;12;3;2;3;0;21;987;26;37,96
2030969;AMA UBS AMERICANOPOLIS;CENTRO DE SAUDE/UNIDADE BASICA;354341;4464 EQUIPE 4 VERMELHA;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;27;12;14;10;19;15;9;2;4;4;20;1251;34;36,79
2788942;UBS VILA GUARANI;CENTRO DE SAUDE/UNIDADE BASICA;2144131;EQUIPE II;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;29;12;9;11;15;18;5;0;10;3;24;1253;33;37,97
4049926;UBS PADRE JOSE DE ANCHIETA;CENTRO DE SAUDE/UNIDADE BASICA;2261316;EAP01;eAP;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2027038;UBS CIDADE SATELITE SANTA BARBARA;CENTRO DE SAUDE/UNIDADE BASICA;2262649;BRANCO;eAP;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;1;0;0;0;0;0;0;0;0;0;0;28;1;28
4050134;UBS JARDIM NOSSA SENHORA DO CARMO;CENTRO DE SAUDE/UNIDADE BASICA;1666045;EQUIPE 07;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;4;1;2;2;4;7;1;4;0;2;6;301;13;23,15
3992101;UBS CHACARA DO CONDE;CENTRO DE SAUDE/UNIDADE BASICA;366331;CH DO CONDE 02;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;25;13;15;14;17;12;2;5;8;5;23;1276;28;45,57
2752182;UBS BRAS DR MANOEL SALDIVA NETO;CENTRO DE SAUDE/UNIDADE BASICA;355674;4031 - EQUIPE A;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;22;14;16;14;16;17;11;2;5;4;22;1309;24;54,54
2786834;UBS CAMBUCI;CENTRO DE SAUDE/UNIDADE BASICA;356522;ESF CAMBUCI 2 VERMELHO;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;5;0;1;0;0;2;0;0;0;0;0;77;5;15,4
2787210;UBS JARDIM BOA VISTA;CENTRO DE SAUDE/UNIDADE BASICA;357855;ESF 1 AMARELA BOA VISTA;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;14;10;13;8;17;11;8;3;3;4;11;932;18;51,78
3614948;UBS LUAR DO SERTAO;CENTRO DE SAUDE/UNIDADE BASICA;365483;LUAR DO SERTAO - AMARELO;eSF;SÃO PAULO;Capital;Outros;Outra;Abril;Gestantes e puérperas;36;15;17;13;25;13;30;5;11;6;29;1836;38;48,32
